14:18:49 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:18
14:21:45 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:45 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:46 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:46 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:47 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:47 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:48 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:48 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:49 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:49 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:50 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:50 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:51 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:51 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:52 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:52 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:53 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:53 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:54 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:54 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:55 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:55 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:56 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:56 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:57 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:57 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:58 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:58 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:59 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:21:59 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:00 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:00 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:01 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:01 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:02 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:02 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:03 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:03 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:04 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:04 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:05 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:05 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:06 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:06 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:07 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:07 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:08 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:08 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:09 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:09 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:10 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:10 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:11 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:11 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:12 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:12 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:13 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:13 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:14 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:14 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:15 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:15 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:16 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:16 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:17 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:17 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:18 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:18 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:19 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:19 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:20 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:20 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:21 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:21 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:22 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:22 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:23 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:23 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:24 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:24 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:25 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:25 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:22:52 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
14:25:38 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:25
14:25:54 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:25
14:26:42 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:26
14:28:55 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:28
14:32:39 06/23/2009	from=192.168.2.229:0	oid=1.3.6.1.4.1.311.1.1.3.1.1	trap=cold start	specific=0	traptime=0 days, 0:0:0.0	community=public	agent=192.168.2.229	version= v1
14:32:40 06/23/2009	from=192.168.2.229:0	oid=1.3.6.1.4.1.311.1.1.3.1.1	trap=link up	specific=0	traptime=0 days, 0:0:17.10	community=public	agent=192.168.2.229	version= v1	var1=1
14:32:40 06/23/2009	from=192.168.2.229:0	oid=1.3.6.1.4.1.311.1.1.3.1.1	trap=link up	specific=0	traptime=0 days, 0:0:17.10	community=public	agent=192.168.2.229	version= v1	var1=2
14:32:41 06/23/2009	from=192.168.2.229:0	oid=1.3.6.1.4.1.311.1.1.3.1.1	trap=link up	specific=0	traptime=0 days, 0:0:17.10	community=public	agent=192.168.2.229	version= v1	var1=3
14:32:41 06/23/2009	from=192.168.2.229:0	oid=1.3.6.1.4.1.311.1.1.3.1.1	trap=link up	specific=0	traptime=0 days, 0:0:17.10	community=public	agent=192.168.2.229	version= v1	var1=131077
14:33:03 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:33
14:34:24 06/23/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307	var4=Test trap at 14:34
14:19:01 06/24/2009	from=192.168.2.229:0	oid= n/a	trap= n/a	specific= n/a	traptime=n/a	community=public	agent=192.168.2.229	version= v2c	var1=0 days, 0:0:0.0	var2=1.3.6.1.4.1.11307.10	var3=1.3.6.1.4.1.11307
